Country,Disease,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Israel,Measles,,0,6,939,"3,177",42,8,80,6,50,211,70,23,5,931,539,9,2,116,124,2,19,36,14,8,12,19,22,"1,555",141,66,991,230,29,194,438,"1,951","3,005",137,129,"7,864",228,215
Italy,Measles,15,9,103,"1,623","2,682","4,042",,159,,,376,"5,189",372,351,"1,617",321,439,135,599,"10,982","9,385",,"1,457","2,908","4,072","41,254","32,596","37,131","6,158","16,890","65,013","23,458","5,223","29,214","92,188","20,627","21,306","75,040","77,149","26,371","18,423","71,239","27,452"
Jamaica,Measles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,15,0,0,0,308,"3,651","5,726",30,37,30,67,236,"1,164","2,815","5,266",36
Japan,Measles,,6,12,742,279,187,165,35,462,229,228,434,450,741,"11,015",,520,,"8,752","8,286","33,812","22,552","22,497",,899,,"1,640",,,"2,002",,"5,452","3,259","1,753","3,109","5,872","6,323","2,810","12,268","7,281","6,716","21,471","13,219"
Jordan,Measles,457,,0,48,0,0,0,0,20,120,3,0,0,0,2,41,1,28,21,76,19,61,32,115,428,"7,026",448,318,516,"2,985","1,071",143,290,"1,397","4,810","1,645",297,559,"2,592",183,"1,594","1,174",552
Kazakhstan,Measles,4,2,"3,270","13,326",576,2,122,526,321,73,55,127,4,0,20,13,109,"16,118","2,204",24,18,94,245,"1,391","1,935",120,123,284,"1,788","3,297",647,"1,425",273,,,,,,,,,,
Kenya,Measles,"1,774",266,597,439,822,63,128,95,354,190,,"2,395",95,"1,218","1,282","1,516","1,847",153,20,65,766,"11,304","21,002","8,601","9,262","3,339","3,572","3,322","4,180",961,"65,004","59,937","77,072","86,727","70,200","49,858","26,199","111,492","200,143","285,681","270,767","257,839","28,473"
Kiribati,Measles,,1,0,3,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,355,25,13,4,292,114,"4,357",8,30,"1,612",264,22,2,"2,015","1,417",0,11,70,170
Kosovo,Measles,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Measles,7,3,,12,42,18,8,18,55,62,27,32,13,,,,,10,23,,,,6,13,90,26,15,12,432,260,383,165,71,71,70,428,237,"2,061",608,"1,590",586,"2,595","1,382"
Kyrgyzstan,Measles,,3,,"2,380","1,007",5,0,"17,779",318,1,0,222,0,1,16,40,27,53,8,6,2,17,16,478,"2,397",998,74,17,168,"3,825",815,824,584,,,,,,,,,,
Laos,Measles,0,2,138,"1,119",10,3,8,56,339,71,32,113,153,78,174,"1,678",58,295,"1,491","1,810","2,070",94,332,"2,302","4,613",671,917,"3,174",984,"1,083",520,"1,400","2,168","2,793","2,243","2,580","1,367","1,492",924,"1,076",383,,"1,380"
Latvia,Measles,0,0,0,3,25,0,0,0,36,0,3,1,0,0,3,0,7,2,0,,,1,0,0,3,4,3,2,10,54,248,6,21,,,,,,,,,,
Lebanon,Measles,,,15,"1,047",944,126,44,39,112,"1,761",9,9,12,22,24,373,956,618,213,526,36,8,5,8,966,134,2,3,51,396,13,,,,,,,,,266,,3,
